cu_num,M,N,K,kernelId,splitK,us,kernelName
304,384,2112,7168,2131,0,30.5937,a8w8_blockscale_bruteforce_1x128x128_256x64x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x4_intrawave_v1
304,384,4096,7168,4503,0,64.6274,a8w8_blockscale_bruteforce_1x128x128_256x64x128x128_16x8_32x32_8x32x1_8x32x1_1x8x1x32_4_1x2_intrawave_v3
304,384,7168,2048,7067,1,32.8314,a8w8_blockscale_bruteforce_1x128x128_256x128x128x128_16x16_16x16_8x32x1_8x32x1_1x16x1x16_4_1x4_intrawave_v3
304,384,7168,16384,8253,1,216.4979,a8w8_blockscale_bruteforce_1x128x128_256x128x128x128_16x8_32x32_8x32x1_8x32x1_1x16x1x16_4_1x2_intrawave_v1
304,384,24576,1536,7337,3,56.4535,a8w8_blockscale_bruteforce_1x128x128_256x128x128x128_16x16_16x16_8x32x1_8x32x1_1x8x1x32_4_1x4_intrawave_v1
304,416,128,512,234,2,3.455,a8w8_blockscale_bruteforce_1x128x128_256x32x32x512_16x16_16x16_32x8x1_32x8x1_1x32x1x8_4_1x1_intrawave_v1
304,416,256,7168,234,1,12.7388,a8w8_blockscale_bruteforce_1x128x128_256x32x32x512_16x16_16x16_32x8x1_32x8x1_1x32x1x8_4_1x1_intrawave_v1
304,416,512,128,124,2,3.0202,a8w8_blockscale_bruteforce_1x128x128_256x32x32x128_8x8_16x16_8x32x1_8x32x1_1x32x1x8_4_1x1_intrawave_v1
304,416,2112,7168,3204,0,33.5546,a8w8_blockscale_bruteforce_1x128x128_256x64x64x256_16x16_32x32_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1
304,416,4096,7168,2547,3,57.662,a8w8_blockscale_bruteforce_1x128x128_256x64x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_4_1x1_intrawave_v1
304,416,7168,2048,7465,3,32.3227,a8w8_blockscale_bruteforce_1x128x128_256x128x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_1x4_intrawave_v3
304,416,7168,16384,2147,3,201.5561,a8w8_blockscale_bruteforce_1x128x128_256x64x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_1x4_intrawave_v1
